head_key,module_id,mean_cosine,median_cosine,min_cosine,max_cosine,std,q05,q95,n_pairs
evo2__mod0004__h24,4,0.9982676224275069,0.9983803033828735,0.9942142963409424,1.001448154449463,0.0013359309766580556,0.9958977103233337,1.0002696514129639,4950
evo2__mod0003__h13,3,0.9982849898482814,0.9989014267921448,0.9951074719429016,0.9991798996925354,0.001048708191327856,0.9962438344955444,0.9991178512573242,4950
evo2__mod0004__h16,4,0.9982888223908164,0.9983054399490356,0.9963216781616211,0.9999943971633911,0.0005101342284517065,0.9973828196525574,0.9990653991699219,4950
evo2__mod0000__h09,0,0.998320685227712,0.998519778251648,0.9924731850624084,0.9997349381446838,0.0009961406445954848,0.996171772480011,0.9992870092391968,4950
evo2__mod0003__h24,3,0.9983311095502642,0.9988640546798706,0.9953794479370117,0.9994661211967468,0.0011063037439278198,0.9961018562316895,0.999355137348175,4950
evo2__mod0000__h15,0,0.9983395360214542,0.9983800053596497,0.995610773563385,0.9998053908348083,0.000593490486811838,0.9972856640815735,0.9992232918739319,4950
evo2__mod0004__h20,4,0.998404233455658,0.9984115362167358,0.9958868622779846,1.0011273622512817,0.0008513144799432766,0.9969658851623535,0.9998475313186646,4950
evo2__mod0002__h20,2,0.9984338846712402,0.9989458322525024,0.9918829798698425,0.9997895956039429,0.0012858767242253698,0.9960116147994995,0.9996011853218079,4950
evo2__mod0004__h22,4,0.9985623537049149,0.9986962080001831,0.9959378838539124,1.000058650970459,0.000725506626429443,0.9970867037773132,0.9995014667510986,4950
evo2__mod0004__h09,4,0.9985916749034265,0.9988126158714294,0.9950049519538879,1.0006372928619385,0.0011723414542353476,0.9964589476585388,1.0001312494277954,4950
evo2__mod0000__h11,0,0.9986115278258468,0.9987316131591797,0.9939509034156799,0.9997978806495667,0.0006757915086869984,0.9974008202552795,0.9994138479232788,4950
evo2__mod0004__h06,4,0.9986254546979461,0.9987165331840515,0.9956348538398743,1.0011996030807495,0.0009714044440850797,0.9969763159751892,1.0000674724578857,4950
evo2__mod0004__h17,4,0.9988020388405733,0.9988997578620911,0.9966860413551331,1.0003061294555664,0.0006619645840283683,0.9976214170455933,0.9997247457504272,4950
evo2__mod0004__h03,4,0.9988546037914777,0.9988826513290405,0.9962418675422668,1.0014067888259888,0.0008606103600778067,0.9974007606506348,1.0002332925796509,4950
evo2__mod0000__h10,0,0.9989055377907223,0.9992496371269226,0.9867129921913147,0.9998457431793213,0.0017271135993107997,0.998684823513031,0.9996006488800049,4950
evo2__mod0000__h21,0,0.9989664959787118,0.999420166015625,0.987018346786499,0.9998953938484192,0.001580755280895896,0.9971111416816711,0.9997656345367432,4950
evo2__mod0004__h01,4,0.9990145768420865,0.9993085861206055,0.9945093393325806,1.0018500089645386,0.0012215291185527167,0.9967084527015686,1.0005598068237305,4950
evo2__mod0002__h12,2,0.9990168794718656,0.9995123147964478,0.9940098524093628,0.9999681711196899,0.001089693660815125,0.9968659281730652,0.9999009966850281,4950
evo2__mod0004__h23,4,0.9990317039537912,0.999027669429779,0.9956544637680054,1.0014431476593018,0.0010420301249043937,0.9972105026245117,1.0006837844848633,4950
evo2__mod0001__h06,1,0.9990435916727239,0.99919193983078,0.9977713823318481,0.9995145797729492,0.000371807404351344,0.9983304142951965,0.9994378089904785,4950
evo2__mod0003__h11,3,0.9990499596884757,0.9991758465766907,0.9983152747154236,0.9993398189544678,0.00026660659413912843,0.9985380172729492,0.9993099570274353,4950
evo2__mod0003__h26,3,0.9990628078128352,0.9991559386253357,0.9986175298690796,0.9992479085922241,0.00017268831140502958,0.9987437725067139,0.9992259740829468,4950
evo2__mod0004__h12,4,0.9990651256387884,0.999085545539856,0.9961915016174316,1.0015267133712769,0.000852862464100198,0.997631311416626,1.0005614757537842,4950
evo2__mod0001__h18,1,0.999112213801856,0.9993276000022888,0.9926145672798157,0.999812662601471,0.0009089575816884712,0.9980403184890747,0.9996755123138428,4950
evo2__mod0001__h04,1,0.9991414988883818,0.999284029006958,0.9963340759277344,0.9998192191123962,0.0004897275958557181,0.9981867671012878,0.9996858239173889,4950
evo2__mod0004__h00,4,0.9992757161939987,0.9993927478790283,0.9962629675865173,1.0014145374298096,0.0009401521440666216,0.9975855946540833,1.0006135702133179,4950
evo2__mod0000__h29,0,0.9993724320151589,0.9994751811027527,0.9962813258171082,0.9998251795768738,0.00041856038071417915,0.9988738298416138,0.9997042417526245,4950
evo2__mod0004__h27,4,0.9994052748969107,0.9994509816169739,0.9974202513694763,1.0010643005371094,0.00048524098231064137,0.9985552430152893,1.0000911951065063,4950
evo2__mod0004__h26,4,0.9994346835637333,0.9995275735855103,0.9958723783493042,1.0016179084777832,0.001109427189832003,0.9976271390914917,1.001003384590149,4950
evo2__mod0000__h23,0,0.9995155409128978,0.9996544122695923,0.9964849948883057,0.9998483657836914,0.00040388669803957515,0.998515784740448,0.999774158000946,4950
evo2__mod0004__h08,4,0.9996002741775127,0.9995469450950623,0.9963755011558533,1.0018482208251953,0.001049937791255341,0.9980058073997498,1.0012943744659424,4950
evo2__mod0004__h05,4,0.9996232542124661,0.9999393820762634,0.9961763024330139,1.0017380714416504,0.0011259154534701166,0.9976006746292114,1.001065731048584,4950
evo2__mod0000__h28,0,0.9996631802212108,0.9996761679649353,0.9990848302841187,0.9998747706413269,9.778210293793215e-05,0.9994802474975586,0.9997996091842651,4950
